Variavel,Categoria,Geo,Geo_Desc,Ano,Valor,Var_Num,Cat_Num,DescLocal,YCoord,XCoord
Idade,11-15,HU,Hungary,2024,21.1,3,1,Fim,985,21.1
Idade,11-15,IE,Ireland,2024,22.5,3,1,Inicio,983,17.1
Idade,11-15,IE,Ireland,2024,22.5,3,1,Fim,985,22.5
Idade,11-15,IT,Italy,2024,26.1,3,1,Inicio,983,23.1
Idade,11-15,IT,Italy,2024,26.1,3,1,Fim,985,26.1
Idade,11-15,LT,Lithuania,2024,23.6,3,1,Inicio,983,25.8
Idade,11-15,LT,Lithuania,2024,23.6,3,1,Fim,985,23.6
Idade,11-15,LU,Luxembourg,2024,34,3,1,Inicio,983,20
Idade,11-15,LU,Luxembourg,2024,34,3,1,Fim,985,34
Idade,11-15,LV,Latvia,2024,15.9,3,1,Inicio,983,24.3
Idade,11-15,LV,Latvia,2024,15.9,3,1,Fim,985,15.9
Idade,11-15,MT,Malta,2024,24.4,3,1,Inicio,983,19.7
Idade,11-15,MT,Malta,2024,24.4,3,1,Fim,985,24.4
Idade,11-15,NL,Netherlands,2024,15.3,3,1,Inicio,983,15.4
Idade,11-15,NL,Netherlands,2024,15.3,3,1,Fim,985,15.3
Idade,11-15,NO,Norway,2024,17.5,3,1,Inicio,983,15.7
Idade,11-15,NO,Norway,2024,17.5,3,1,Fim,985,17.5
Idade,11-15,PL,Poland,2024,16.9,3,1,Inicio,983,16
Idade,11-15,PL,Poland,2024,16.9,3,1,Fim,985,16.9
Idade,11-15,PT,Portugal,2024,20.4,3,1,Inicio,983,19.7
Idade,11-15,PT,Portugal,2024,20.4,3,1,Fim,985,20.4
Idade,11-15,RO,Romania,2024,34.4,3,1,Inicio,983,27.9
Idade,11-15,RO,Romania,2024,34.4,3,1,Fim,985,34.4
Idade,11-15,RS,Serbia,2024,26.7,3,1,Inicio,983,24.3
Idade,11-15,RS,Serbia,2024,26.7,3,1,Fim,985,26.7
Idade,11-15,SE,Sweden,2024,20.6,3,1,Inicio,983,17.5
Idade,11-15,SE,Sweden,2024,20.6,3,1,Fim,985,20.6
Idade,11-15,SI,Slovenia,2024,13,3,1,Inicio,983,14.4
Idade,11-15,SI,Slovenia,2024,13,3,1,Fim,985,13
Idade,11-15,SK,Slovakia,2024,22.5,3,1,Inicio,983,18.3
Idade,11-15,SK,Slovakia,2024,22.5,3,1,Fim,985,22.5
Idade,11-15,TR,Türkiye,2024,41.4,3,1,Inicio,983,30.4
Idade,11-15,TR,Türkiye,2024,41.4,3,1,Fim,985,41.4
Idade,15-19,AT,Austria,2024,18.5,3,2,Inicio,980,16.9
Idade,15-19,AT,Austria,2024,18.5,3,2,Fim,982,18.5
Idade,15-19,BE,Belgium,2024,22.8,3,2,Inicio,980,18.2
