Variavel,Categoria,Geo,Geo_Desc,Ano,Valor,Var_Num,Cat_Num,DescLocal,YCoord,XCoord
Actividade,Empregados exceto conta outrem,LT,Lithuania,2024,24.6,6,6,Inicio,911,25.8
Actividade,Empregados exceto conta outrem,LT,Lithuania,2024,24.6,6,6,Fim,913,24.6
Actividade,Empregados exceto conta outrem,LU,Luxembourg,2024,16.5,6,6,Inicio,911,20
Actividade,Empregados exceto conta outrem,LU,Luxembourg,2024,16.5,6,6,Fim,913,16.5
Actividade,Empregados exceto conta outrem,LV,Latvia,2024,27.9,6,6,Inicio,911,24.3
Actividade,Empregados exceto conta outrem,LV,Latvia,2024,27.9,6,6,Fim,913,27.9
Actividade,Empregados exceto conta outrem,MT,Malta,2024,15.8,6,6,Inicio,911,19.7
Actividade,Empregados exceto conta outrem,MT,Malta,2024,15.8,6,6,Fim,913,15.8
Actividade,Empregados exceto conta outrem,NL,Netherlands,2024,15.6,6,6,Inicio,911,15.4
Actividade,Empregados exceto conta outrem,NL,Netherlands,2024,15.6,6,6,Fim,913,15.6
Actividade,Empregados exceto conta outrem,NO,Norway,2024,13.8,6,6,Inicio,911,15.7
Actividade,Empregados exceto conta outrem,NO,Norway,2024,13.8,6,6,Fim,913,13.8
Actividade,Empregados exceto conta outrem,PL,Poland,2024,30.4,6,6,Inicio,911,16
Actividade,Empregados exceto conta outrem,PL,Poland,2024,30.4,6,6,Fim,913,30.4
Actividade,Empregados exceto conta outrem,PT,Portugal,2024,28.6,6,6,Inicio,911,19.7
Actividade,Empregados exceto conta outrem,PT,Portugal,2024,28.6,6,6,Fim,913,28.6
Actividade,Empregados exceto conta outrem,RO,Romania,2024,60.4,6,6,Inicio,911,27.9
Actividade,Empregados exceto conta outrem,RO,Romania,2024,60.4,6,6,Fim,913,60.4
Actividade,Empregados exceto conta outrem,RS,Serbia,2024,16.4,6,6,Inicio,911,24.3
Actividade,Empregados exceto conta outrem,RS,Serbia,2024,16.4,6,6,Fim,913,16.4
Actividade,Empregados exceto conta outrem,SE,Sweden,2024,14.7,6,6,Inicio,911,17.5
Actividade,Empregados exceto conta outrem,SE,Sweden,2024,14.7,6,6,Fim,913,14.7
Actividade,Empregados exceto conta outrem,SI,Slovenia,2024,23.8,6,6,Inicio,911,14.4
Actividade,Empregados exceto conta outrem,SI,Slovenia,2024,23.8,6,6,Fim,913,23.8
Actividade,Empregados exceto conta outrem,SK,Slovakia,2024,20,6,6,Inicio,911,18.3
Actividade,Empregados exceto conta outrem,SK,Slovakia,2024,20,6,6,Fim,913,20
Actividade,Empregados exceto conta outrem,TR,Türkiye,2024,19.1,6,6,Inicio,911,30.4
Actividade,Empregados exceto conta outrem,TR,Türkiye,2024,19.1,6,6,Fim,913,19.1
Actividade,Reformados,AT,Austria,2024,16.8,6,4,Inicio,917,16.9
Actividade,Reformados,AT,Austria,2024,16.8,6,4,Fim,919,16.8
Actividade,Reformados,BE,Belgium,2024,12.9,6,4,Inicio,917,18.2
Actividade,Reformados,BE,Belgium,2024,12.9,6,4,Fim,919,12.9
Actividade,Reformados,BG,Bulgaria,2024,36.9,6,4,Inicio,917,30.3
Actividade,Reformados,BG,Bulgaria,2024,36.9,6,4,Fim,919,36.9
Actividade,Reformados,CY,Cyprus,2024,32.8,6,4,Inicio,917,17.1
Actividade,Reformados,CY,Cyprus,2024,32.8,6,4,Fim,919,32.8
Actividade,Reformados,CZ,Czechia,2024,9.8,6,4,Inicio,917,11.3
Actividade,Reformados,CZ,Czechia,2024,9.8,6,4,Fim,919,9.8
Actividade,Reformados,DE,Germany,2024,20.7,6,4,Inicio,917,21.1
Actividade,Reformados,DE,Germany,2024,20.7,6,4,Fim,919,20.7
Actividade,Reformados,DK,Denmark,2024,12.9,6,4,Inicio,917,18
Actividade,Reformados,DK,Denmark,2024,12.9,6,4,Fim,919,12.9
Actividade,Reformados,EE,Estonia,2024,46.5,6,4,Inicio,917,22.2
Actividade,Reformados,EE,Estonia,2024,46.5,6,4,Fim,919,46.5
Actividade,Reformados,EL,Greece,2024,18.5,6,4,Inicio,917,26.9
Actividade,Reformados,EL,Greece,2024,18.5,6,4,Fim,919,18.5
Actividade,Reformados,ES,Spain,2024,15.8,6,4,Inicio,917,25.8
Actividade,Reformados,ES,Spain,2024,15.8,6,4,Fim,919,15.8
Actividade,Reformados,FI,Finland,2024,13.4,6,4,Inicio,917,16.8
Actividade,Reformados,FI,Finland,2024,13.4,6,4,Fim,919,13.4
Actividade,Reformados,FR,France,2024,13.7,6,4,Inicio,917,20.5
Actividade,Reformados,FR,France,2024,13.7,6,4,Fim,919,13.7
Actividade,Reformados,HR,Croatia,2024,34.9,6,4,Inicio,917,21.7
Actividade,Reformados,HR,Croatia,2024,34.9,6,4,Fim,919,34.9
Actividade,Reformados,HU,Hungary,2024,28.2,6,4,Inicio,917,20.2
Actividade,Reformados,HU,Hungary,2024,28.2,6,4,Fim,919,28.2
Actividade,Reformados,IE,Ireland,2024,22.3,6,4,Inicio,917,17.1
Actividade,Reformados,IE,Ireland,2024,22.3,6,4,Fim,919,22.3
Actividade,Reformados,IT,Italy,2024,15.6,6,4,Inicio,917,23.1
Actividade,Reformados,IT,Italy,2024,15.6,6,4,Fim,919,15.6
Actividade,Reformados,LT,Lithuania,2024,42.2,6,4,Inicio,917,25.8
Actividade,Reformados,LT,Lithuania,2024,42.2,6,4,Fim,919,42.2
Actividade,Reformados,LU,Luxembourg,2024,10.8,6,4,Inicio,917,20
Actividade,Reformados,LU,Luxembourg,2024,10.8,6,4,Fim,919,10.8
Actividade,Reformados,LV,Latvia,2024,50.2,6,4,Inicio,917,24.3
Actividade,Reformados,LV,Latvia,2024,50.2,6,4,Fim,919,50.2
Actividade,Reformados,MT,Malta,2024,27.2,6,4,Inicio,917,19.7
Actividade,Reformados,MT,Malta,2024,27.2,6,4,Fim,919,27.2
Actividade,Reformados,NL,Netherlands,2024,13.4,6,4,Inicio,917,15.4
Actividade,Reformados,NL,Netherlands,2024,13.4,6,4,Fim,919,13.4
Actividade,Reformados,NO,Norway,2024,7.9,6,4,Inicio,917,15.7
Actividade,Reformados,NO,Norway,2024,7.9,6,4,Fim,919,7.9
Actividade,Reformados,PL,Poland,2024,17.2,6,4,Inicio,917,16
Actividade,Reformados,PL,Poland,2024,17.2,6,4,Fim,919,17.2
Actividade,Reformados,PT,Portugal,2024,22.3,6,4,Inicio,917,19.7
Actividade,Reformados,PT,Portugal,2024,22.3,6,4,Fim,919,22.3
Actividade,Reformados,RO,Romania,2024,27.5,6,4,Inicio,917,27.9
Actividade,Reformados,RO,Romania,2024,27.5,6,4,Fim,919,27.5
Actividade,Reformados,RS,Serbia,2024,26.9,6,4,Inicio,917,24.3
Actividade,Reformados,RS,Serbia,2024,26.9,6,4,Fim,919,26.9
Actividade,Reformados,SE,Sweden,2024,12.2,6,4,Inicio,917,17.5
Actividade,Reformados,SE,Sweden,2024,12.2,6,4,Fim,919,12.2
Actividade,Reformados,SI,Slovenia,2024,23.5,6,4,Inicio,917,14.4
Actividade,Reformados,SI,Slovenia,2024,23.5,6,4,Fim,919,23.5
Actividade,Reformados,SK,Slovakia,2024,13.2,6,4,Inicio,917,18.3
Actividade,Reformados,SK,Slovakia,2024,13.2,6,4,Fim,919,13.2
Actividade,Reformados,TR,Türkiye,2024,22,6,4,Inicio,917,30.4
Actividade,Reformados,TR,Türkiye,2024,22,6,4,Fim,919,22
Actividade,Trabalhadores conta outrem,AT,Austria,2024,8.6,6,7,Inicio,908,16.9
Actividade,Trabalhadores conta outrem,AT,Austria,2024,8.6,6,7,Fim,910,8.6
Actividade,Trabalhadores conta outrem,BE,Belgium,2024,5.1,6,7,Inicio,908,18.2
Actividade,Trabalhadores conta outrem,BE,Belgium,2024,5.1,6,7,Fim,910,5.1
Actividade,Trabalhadores conta outrem,BG,Bulgaria,2024,17.2,6,7,Inicio,908,30.3
Actividade,Trabalhadores conta outrem,BG,Bulgaria,2024,17.2,6,7,Fim,910,17.2
Actividade,Trabalhadores conta outrem,CY,Cyprus,2024,8.3,6,7,Inicio,908,17.1
Actividade,Trabalhadores conta outrem,CY,Cyprus,2024,8.3,6,7,Fim,910,8.3
Actividade,Trabalhadores conta outrem,CZ,Czechia,2024,3.8,6,7,Inicio,908,11.3
Actividade,Trabalhadores conta outrem,CZ,Czechia,2024,3.8,6,7,Fim,910,3.8
Actividade,Trabalhadores conta outrem,DE,Germany,2024,9.4,6,7,Inicio,908,21.1
Actividade,Trabalhadores conta outrem,DE,Germany,2024,9.4,6,7,Fim,910,9.4
Actividade,Trabalhadores conta outrem,DK,Denmark,2024,7.6,6,7,Inicio,908,18
Actividade,Trabalhadores conta outrem,DK,Denmark,2024,7.6,6,7,Fim,910,7.6
Actividade,Trabalhadores conta outrem,EE,Estonia,2024,10,6,7,Inicio,908,22.2
Actividade,Trabalhadores conta outrem,EE,Estonia,2024,10,6,7,Fim,910,10
Actividade,Trabalhadores conta outrem,EL,Greece,2024,12.5,6,7,Inicio,908,26.9
Actividade,Trabalhadores conta outrem,EL,Greece,2024,12.5,6,7,Fim,910,12.5
Actividade,Trabalhadores conta outrem,ES,Spain,2024,13.9,6,7,Inicio,908,25.8
Actividade,Trabalhadores conta outrem,ES,Spain,2024,13.9,6,7,Fim,910,13.9
Actividade,Trabalhadores conta outrem,FI,Finland,2024,4,6,7,Inicio,908,16.8
Actividade,Trabalhadores conta outrem,FI,Finland,2024,4,6,7,Fim,910,4
Actividade,Trabalhadores conta outrem,FR,France,2024,9.3,6,7,Inicio,908,20.5
Actividade,Trabalhadores conta outrem,FR,France,2024,9.3,6,7,Fim,910,9.3
Actividade,Trabalhadores conta outrem,HR,Croatia,2024,6.9,6,7,Inicio,908,21.7
Actividade,Trabalhadores conta outrem,HR,Croatia,2024,6.9,6,7,Fim,910,6.9
Actividade,Trabalhadores conta outrem,HU,Hungary,2024,9.7,6,7,Inicio,908,20.2
Actividade,Trabalhadores conta outrem,HU,Hungary,2024,9.7,6,7,Fim,910,9.7
Actividade,Trabalhadores conta outrem,IE,Ireland,2024,6,6,7,Inicio,908,17.1
Actividade,Trabalhadores conta outrem,IE,Ireland,2024,6,6,7,Fim,910,6
Actividade,Trabalhadores conta outrem,IT,Italy,2024,10.1,6,7,Inicio,908,23.1
Actividade,Trabalhadores conta outrem,IT,Italy,2024,10.1,6,7,Fim,910,10.1
Actividade,Trabalhadores conta outrem,LT,Lithuania,2024,8.7,6,7,Inicio,908,25.8
Actividade,Trabalhadores conta outrem,LT,Lithuania,2024,8.7,6,7,Fim,910,8.7
Actividade,Trabalhadores conta outrem,LU,Luxembourg,2024,14.3,6,7,Inicio,908,20
Actividade,Trabalhadores conta outrem,LU,Luxembourg,2024,14.3,6,7,Fim,910,14.3
Actividade,Trabalhadores conta outrem,LV,Latvia,2024,8.8,6,7,Inicio,908,24.3
Actividade,Trabalhadores conta outrem,LV,Latvia,2024,8.8,6,7,Fim,910,8.8
Actividade,Trabalhadores conta outrem,MT,Malta,2024,8.6,6,7,Inicio,908,19.7
Actividade,Trabalhadores conta outrem,MT,Malta,2024,8.6,6,7,Fim,910,8.6
Actividade,Trabalhadores conta outrem,NL,Netherlands,2024,4.1,6,7,Inicio,908,15.4
Actividade,Trabalhadores conta outrem,NL,Netherlands,2024,4.1,6,7,Fim,910,4.1
Actividade,Trabalhadores conta outrem,NO,Norway,2024,7.1,6,7,Inicio,908,15.7
Actividade,Trabalhadores conta outrem,NO,Norway,2024,7.1,6,7,Fim,910,7.1
Actividade,Trabalhadores conta outrem,PL,Poland,2024,4.9,6,7,Inicio,908,16
Actividade,Trabalhadores conta outrem,PL,Poland,2024,4.9,6,7,Fim,910,4.9
Actividade,Trabalhadores conta outrem,PT,Portugal,2024,8.2,6,7,Inicio,908,19.7
Actividade,Trabalhadores conta outrem,PT,Portugal,2024,8.2,6,7,Fim,910,8.2
Actividade,Trabalhadores conta outrem,RO,Romania,2024,10.9,6,7,Inicio,908,27.9
Actividade,Trabalhadores conta outrem,RO,Romania,2024,10.9,6,7,Fim,910,10.9
Actividade,Trabalhadores conta outrem,RS,Serbia,2024,7.4,6,7,Inicio,908,24.3
Actividade,Trabalhadores conta outrem,RS,Serbia,2024,7.4,6,7,Fim,910,7.4
Actividade,Trabalhadores conta outrem,SE,Sweden,2024,8.2,6,7,Inicio,908,17.5
Actividade,Trabalhadores conta outrem,SE,Sweden,2024,8.2,6,7,Fim,910,8.2
Actividade,Trabalhadores conta outrem,SI,Slovenia,2024,3.1,6,7,Inicio,908,14.4
Actividade,Trabalhadores conta outrem,SI,Slovenia,2024,3.1,6,7,Fim,910,3.1
Actividade,Trabalhadores conta outrem,SK,Slovakia,2024,11,6,7,Inicio,908,18.3
Actividade,Trabalhadores conta outrem,SK,Slovakia,2024,11,6,7,Fim,910,11
Actividade,Trabalhadores conta outrem,TR,Türkiye,2024,14.5,6,7,Inicio,908,30.4
Actividade,Trabalhadores conta outrem,TR,Türkiye,2024,14.5,6,7,Fim,910,14.5
Actividade,Pessoas desempregadas,AT,Austria,2024,59.2,6,2,Inicio,923,16.9
Actividade,Pessoas desempregadas,AT,Austria,2024,59.2,6,2,Fim,925,59.2
Actividade,Pessoas desempregadas,BE,Belgium,2024,69,6,2,Inicio,923,18.2
Actividade,Pessoas desempregadas,BE,Belgium,2024,69,6,2,Fim,925,69
Actividade,Pessoas desempregadas,BG,Bulgaria,2024,71.9,6,2,Inicio,923,30.3
Actividade,Pessoas desempregadas,BG,Bulgaria,2024,71.9,6,2,Fim,925,71.9
Actividade,Pessoas desempregadas,CY,Cyprus,2024,43.2,6,2,Inicio,923,17.1
Actividade,Pessoas desempregadas,CY,Cyprus,2024,43.2,6,2,Fim,925,43.2
Actividade,Pessoas desempregadas,CZ,Czechia,2024,66.2,6,2,Inicio,923,11.3
Actividade,Pessoas desempregadas,CZ,Czechia,2024,66.2,6,2,Fim,925,66.2
Actividade,Pessoas desempregadas,DE,Germany,2024,84,6,2,Inicio,923,21.1
Actividade,Pessoas desempregadas,DE,Germany,2024,84,6,2,Fim,925,84
Actividade,Pessoas desempregadas,DK,Denmark,2024,58.8,6,2,Inicio,923,18
Actividade,Pessoas desempregadas,DK,Denmark,2024,58.8,6,2,Fim,925,58.8
Actividade,Pessoas desempregadas,EE,Estonia,2024,57.3,6,2,Inicio,923,22.2
Actividade,Pessoas desempregadas,EE,Estonia,2024,57.3,6,2,Fim,925,57.3
Actividade,Pessoas desempregadas,EL,Greece,2024,66.1,6,2,Inicio,923,26.9
Actividade,Pessoas desempregadas,EL,Greece,2024,66.1,6,2,Fim,925,66.1
Actividade,Pessoas desempregadas,ES,Spain,2024,61.8,6,2,Inicio,923,25.8
Actividade,Pessoas desempregadas,ES,Spain,2024,61.8,6,2,Fim,925,61.8
Actividade,Pessoas desempregadas,FI,Finland,2024,72,6,2,Inicio,923,16.8
Actividade,Pessoas desempregadas,FI,Finland,2024,72,6,2,Fim,925,72
Actividade,Pessoas desempregadas,FR,France,2024,62.2,6,2,Inicio,923,20.5
Actividade,Pessoas desempregadas,FR,France,2024,62.2,6,2,Fim,925,62.2
Actividade,Pessoas desempregadas,HR,Croatia,2024,50.2,6,2,Inicio,923,21.7
Actividade,Pessoas desempregadas,HR,Croatia,2024,50.2,6,2,Fim,925,50.2
Actividade,Pessoas desempregadas,HU,Hungary,2024,71.8,6,2,Inicio,923,20.2
Actividade,Pessoas desempregadas,HU,Hungary,2024,71.8,6,2,Fim,925,71.8
Actividade,Pessoas desempregadas,IE,Ireland,2024,55.9,6,2,Inicio,923,17.1
Actividade,Pessoas desempregadas,IE,Ireland,2024,55.9,6,2,Fim,925,55.9
Actividade,Pessoas desempregadas,IT,Italy,2024,64.5,6,2,Inicio,923,23.1
Actividade,Pessoas desempregadas,IT,Italy,2024,64.5,6,2,Fim,925,64.5
Actividade,Pessoas desempregadas,LT,Lithuania,2024,71.9,6,2,Inicio,923,25.8
Actividade,Pessoas desempregadas,LT,Lithuania,2024,71.9,6,2,Fim,925,71.9
Actividade,Pessoas desempregadas,LU,Luxembourg,2024,43.2,6,2,Inicio,923,20
Actividade,Pessoas desempregadas,LU,Luxembourg,2024,43.2,6,2,Fim,925,43.2
Actividade,Pessoas desempregadas,LV,Latvia,2024,65.9,6,2,Inicio,923,24.3
Actividade,Pessoas desempregadas,LV,Latvia,2024,65.9,6,2,Fim,925,65.9
Actividade,Pessoas desempregadas,MT,Malta,2024,57.8,6,2,Inicio,923,19.7
Actividade,Pessoas desempregadas,MT,Malta,2024,57.8,6,2,Fim,925,57.8
Actividade,Pessoas desempregadas,NL,Netherlands,2024,77.7,6,2,Inicio,923,15.4
Actividade,Pessoas desempregadas,NL,Netherlands,2024,77.7,6,2,Fim,925,77.7
Actividade,Pessoas desempregadas,NO,Norway,2024,55.2,6,2,Inicio,923,15.7
Actividade,Pessoas desempregadas,NO,Norway,2024,55.2,6,2,Fim,925,55.2
Actividade,Pessoas desempregadas,PL,Poland,2024,52.9,6,2,Inicio,923,16
Actividade,Pessoas desempregadas,PL,Poland,2024,52.9,6,2,Fim,925,52.9
Actividade,Pessoas desempregadas,PT,Portugal,2024,59.8,6,2,Inicio,923,19.7
Actividade,Pessoas desempregadas,PT,Portugal,2024,59.8,6,2,Fim,925,59.8
Actividade,Pessoas desempregadas,RO,Romania,2024,73.2,6,2,Inicio,923,27.9
Actividade,Pessoas desempregadas,RO,Romania,2024,73.2,6,2,Fim,925,73.2
Actividade,Pessoas desempregadas,RS,Serbia,2024,60.6,6,2,Inicio,923,24.3
Actividade,Pessoas desempregadas,RS,Serbia,2024,60.6,6,2,Fim,925,60.6
Actividade,Pessoas desempregadas,SE,Sweden,2024,63.6,6,2,Inicio,923,17.5
Actividade,Pessoas desempregadas,SE,Sweden,2024,63.6,6,2,Fim,925,63.6
Actividade,Pessoas desempregadas,SI,Slovenia,2024,56.6,6,2,Inicio,923,14.4
Actividade,Pessoas desempregadas,SI,Slovenia,2024,56.6,6,2,Fim,925,56.6
Actividade,Pessoas desempregadas,SK,Slovakia,2024,74.7,6,2,Inicio,923,18.3
Actividade,Pessoas desempregadas,SK,Slovakia,2024,74.7,6,2,Fim,925,74.7
Actividade,Pessoas desempregadas,TR,Türkiye,2024,52.7,6,2,Inicio,923,30.4
Actividade,Pessoas desempregadas,TR,Türkiye,2024,52.7,6,2,Fim,925,52.7
Quintiles,QU1,AT,Austria,2024,73.9,5,1,Inicio,945,16.9
Quintiles,QU1,AT,Austria,2024,73.9,5,1,Fim,947,73.9
Quintiles,QU1,BE,Belgium,2024,70.3,5,1,Inicio,945,18.2
Quintiles,QU1,BE,Belgium,2024,70.3,5,1,Fim,947,70.3
Quintiles,QU1,BG,Bulgaria,2024,100,5,1,Inicio,945,30.3
Quintiles,QU1,BG,Bulgaria,2024,100,5,1,Fim,947,100
Quintiles,QU1,CY,Cyprus,2024,76.3,5,1,Inicio,945,17.1
Quintiles,QU1,CY,Cyprus,2024,76.3,5,1,Fim,947,76.3
Quintiles,QU1,CZ,Czechia,2024,51.7,5,1,Inicio,945,11.3
Quintiles,QU1,CZ,Czechia,2024,51.7,5,1,Fim,947,51.7
Quintiles,QU1,DE,Germany,2024,82,5,1,Inicio,945,21.1
Quintiles,QU1,DE,Germany,2024,82,5,1,Fim,947,82
Quintiles,QU1,DK,Denmark,2024,67.7,5,1,Inicio,945,18
Quintiles,QU1,DK,Denmark,2024,67.7,5,1,Fim,947,67.7
Quintiles,QU1,EE,Estonia,2024,100,5,1,Inicio,945,22.2
Quintiles,QU1,EE,Estonia,2024,100,5,1,Fim,947,100
Quintiles,QU1,EL,Greece,2024,98.6,5,1,Inicio,945,26.9
Quintiles,QU1,EL,Greece,2024,98.6,5,1,Fim,947,98.6
Quintiles,QU1,ES,Spain,2024,98.8,5,1,Inicio,945,25.8
Quintiles,QU1,ES,Spain,2024,98.8,5,1,Fim,947,98.8
Quintiles,QU1,FI,Finland,2024,71,5,1,Inicio,945,16.8
Quintiles,QU1,FI,Finland,2024,71,5,1,Fim,947,71
Quintiles,QU1,FR,France,2024,84.6,5,1,Inicio,945,20.5
Quintiles,QU1,FR,France,2024,84.6,5,1,Fim,947,84.6
Quintiles,QU1,HR,Croatia,2024,100,5,1,Inicio,945,21.7
Quintiles,QU1,HR,Croatia,2024,100,5,1,Fim,947,100
Quintiles,QU1,HU,Hungary,2024,79.3,5,1,Inicio,945,20.2
Quintiles,QU1,HU,Hungary,2024,79.3,5,1,Fim,947,79.3
Quintiles,QU1,IE,Ireland,2024,71.6,5,1,Inicio,945,17.1
Quintiles,QU1,IE,Ireland,2024,71.6,5,1,Fim,947,71.6
Quintiles,QU1,IT,Italy,2024,95.5,5,1,Inicio,945,23.1
Quintiles,QU1,IT,Italy,2024,95.5,5,1,Fim,947,95.5
Quintiles,QU1,LT,Lithuania,2024,100,5,1,Inicio,945,25.8
Quintiles,QU1,LT,Lithuania,2024,100,5,1,Fim,947,100
Quintiles,QU1,LU,Luxembourg,2024,91.3,5,1,Inicio,945,20
Quintiles,QU1,LU,Luxembourg,2024,91.3,5,1,Fim,947,91.3
Quintiles,QU1,LV,Latvia,2024,100,5,1,Inicio,945,24.3
Quintiles,QU1,LV,Latvia,2024,100,5,1,Fim,947,100
Quintiles,QU1,MT,Malta,2024,85.6,5,1,Inicio,945,19.7
Quintiles,QU1,MT,Malta,2024,85.6,5,1,Fim,947,85.6
Quintiles,QU1,NL,Netherlands,2024,69.2,5,1,Inicio,945,15.4
Quintiles,QU1,NL,Netherlands,2024,69.2,5,1,Fim,947,69.2
Quintiles,QU1,NO,Norway,2024,68.6,5,1,Inicio,945,15.7
Quintiles,QU1,NO,Norway,2024,68.6,5,1,Fim,947,68.6
Quintiles,QU1,PL,Poland,2024,70.9,5,1,Inicio,945,16
Quintiles,QU1,PL,Poland,2024,70.9,5,1,Fim,947,70.9
Quintiles,QU1,PT,Portugal,2024,85.2,5,1,Inicio,945,19.7
Quintiles,QU1,PT,Portugal,2024,85.2,5,1,Fim,947,85.2
Quintiles,QU1,RO,Romania,2024,96.5,5,1,Inicio,945,27.9
Quintiles,QU1,RO,Romania,2024,96.5,5,1,Fim,947,96.5
Quintiles,QU1,RS,Serbia,2024,98.9,5,1,Inicio,945,24.3
Quintiles,QU1,RS,Serbia,2024,98.9,5,1,Fim,947,98.9
Quintiles,QU1,SE,Sweden,2024,77.1,5,1,Inicio,945,17.5
Quintiles,QU1,SE,Sweden,2024,77.1,5,1,Fim,947,77.1
Quintiles,QU1,SI,Slovenia,2024,68.3,5,1,Inicio,945,14.4
Quintiles,QU1,SI,Slovenia,2024,68.3,5,1,Fim,947,68.3
Quintiles,QU1,SK,Slovakia,2024,76.2,5,1,Inicio,945,18.3
Quintiles,QU1,SK,Slovakia,2024,76.2,5,1,Fim,947,76.2
Quintiles,QU1,TR,Türkiye,2024,100,5,1,Inicio,945,30.4
Quintiles,QU1,TR,Türkiye,2024,100,5,1,Fim,947,100
Quintiles,QU2,AT,Austria,2024,5.7,5,2,Inicio,942,16.9
Quintiles,QU2,AT,Austria,2024,5.7,5,2,Fim,944,5.7
Quintiles,QU2,BE,Belgium,2024,14.2,5,2,Inicio,942,18.2
Quintiles,QU2,BE,Belgium,2024,14.2,5,2,Fim,944,14.2
Quintiles,QU2,BG,Bulgaria,2024,31.6,5,2,Inicio,942,30.3
Quintiles,QU2,BG,Bulgaria,2024,31.6,5,2,Fim,944,31.6
Quintiles,QU2,CY,Cyprus,2024,5.8,5,2,Inicio,942,17.1
Quintiles,QU2,CY,Cyprus,2024,5.8,5,2,Fim,944,5.8
Quintiles,QU2,CZ,Czechia,2024,1.9,5,2,Inicio,942,11.3
Quintiles,QU2,CZ,Czechia,2024,1.9,5,2,Fim,944,1.9
Quintiles,QU2,DE,Germany,2024,13.6,5,2,Inicio,942,21.1
Quintiles,QU2,DE,Germany,2024,13.6,5,2,Fim,944,13.6
Quintiles,QU2,DK,Denmark,2024,14.7,5,2,Inicio,942,18
Quintiles,QU2,DK,Denmark,2024,14.7,5,2,Fim,944,14.7
Quintiles,QU2,EE,Estonia,2024,7.7,5,2,Inicio,942,22.2
Quintiles,QU2,EE,Estonia,2024,7.7,5,2,Fim,944,7.7
Quintiles,QU2,EL,Greece,2024,19.7,5,2,Inicio,942,26.9
Quintiles,QU2,EL,Greece,2024,19.7,5,2,Fim,944,19.7
Quintiles,QU2,ES,Spain,2024,14.3,5,2,Inicio,942,25.8
Quintiles,QU2,ES,Spain,2024,14.3,5,2,Fim,944,14.3
Quintiles,QU2,FI,Finland,2024,7.5,5,2,Inicio,942,16.8
Quintiles,QU2,FI,Finland,2024,7.5,5,2,Fim,944,7.5
Quintiles,QU2,FR,France,2024,11.8,5,2,Inicio,942,20.5
Quintiles,QU2,FR,France,2024,11.8,5,2,Fim,944,11.8
Quintiles,QU2,HR,Croatia,2024,6.2,5,2,Inicio,942,21.7
Quintiles,QU2,HR,Croatia,2024,6.2,5,2,Fim,944,6.2
Quintiles,QU2,HU,Hungary,2024,13.2,5,2,Inicio,942,20.2
Quintiles,QU2,HU,Hungary,2024,13.2,5,2,Fim,944,13.2
Quintiles,QU2,IE,Ireland,2024,8.2,5,2,Inicio,942,17.1
Quintiles,QU2,IE,Ireland,2024,8.2,5,2,Fim,944,8.2
Quintiles,QU2,IT,Italy,2024,10.6,5,2,Inicio,942,23.1
Quintiles,QU2,IT,Italy,2024,10.6,5,2,Fim,944,10.6
Quintiles,QU2,LT,Lithuania,2024,19.3,5,2,Inicio,942,25.8
Quintiles,QU2,LT,Lithuania,2024,19.3,5,2,Fim,944,19.3
Quintiles,QU2,LU,Luxembourg,2024,5.6,5,2,Inicio,942,20
Quintiles,QU2,LU,Luxembourg,2024,5.6,5,2,Fim,944,5.6
Quintiles,QU2,LV,Latvia,2024,15.3,5,2,Inicio,942,24.3
Quintiles,QU2,LV,Latvia,2024,15.3,5,2,Fim,944,15.3
Quintiles,QU2,MT,Malta,2024,8.1,5,2,Inicio,942,19.7
Quintiles,QU2,MT,Malta,2024,8.1,5,2,Fim,944,8.1
Quintiles,QU2,NL,Netherlands,2024,4.7,5,2,Inicio,942,15.4
Quintiles,QU2,NL,Netherlands,2024,4.7,5,2,Fim,944,4.7
Quintiles,QU2,NO,Norway,2024,5.8,5,2,Inicio,942,15.7
Quintiles,QU2,NO,Norway,2024,5.8,5,2,Fim,944,5.8
Quintiles,QU2,PL,Poland,2024,4.7,5,2,Inicio,942,16
Quintiles,QU2,PL,Poland,2024,4.7,5,2,Fim,944,4.7
Quintiles,QU2,PT,Portugal,2024,7.5,5,2,Inicio,942,19.7
Quintiles,QU2,PT,Portugal,2024,7.5,5,2,Fim,944,7.5
Quintiles,QU2,RO,Romania,2024,24.2,5,2,Inicio,942,27.9
Quintiles,QU2,RO,Romania,2024,24.2,5,2,Fim,944,24.2
Quintiles,QU2,RS,Serbia,2024,13.3,5,2,Inicio,942,24.3
Quintiles,QU2,RS,Serbia,2024,13.3,5,2,Fim,944,13.3
Quintiles,QU2,SE,Sweden,2024,5.6,5,2,Inicio,942,17.5
Quintiles,QU2,SE,Sweden,2024,5.6,5,2,Fim,944,5.6
Quintiles,QU2,SI,Slovenia,2024,2.4,5,2,Inicio,942,14.4
Quintiles,QU2,SI,Slovenia,2024,2.4,5,2,Fim,944,2.4
Quintiles,QU2,SK,Slovakia,2024,7.1,5,2,Inicio,942,18.3
Quintiles,QU2,SK,Slovakia,2024,7.1,5,2,Fim,944,7.1
Quintiles,QU2,TR,Türkiye,2024,31.8,5,2,Inicio,942,30.4
Quintiles,QU2,TR,Türkiye,2024,31.8,5,2,Fim,944,31.8
Quintiles,QU3,AT,Austria,2024,3.4,5,3,Inicio,939,16.9
