Data,COICOP,Valor
2003-01-15,Serviços Postais,66.07
2003-02-15,Total,80.75
2003-02-15,Serviços Postais,66.07
2003-03-15,Total,80.8
2003-03-15,Serviços Postais,66.07
2003-04-15,Total,81.48
2003-04-15,Serviços Postais,66.07
2003-05-15,Total,82.05
2003-05-15,Serviços Postais,66.07
2003-06-15,Total,82.08
2003-06-15,Serviços Postais,66.07
2003-07-15,Total,81.96
2003-07-15,Serviços Postais,66.07
2003-08-15,Total,82.05
2003-08-15,Serviços Postais,66.07
2003-09-15,Total,82.21
2003-09-15,Serviços Postais,66.07
2003-10-15,Total,82.43
2003-10-15,Serviços Postais,66.07
2003-11-15,Total,82.51
2003-11-15,Serviços Postais,66.07
2003-12-15,Total,82.54
2003-12-15,Serviços Postais,66.07
2004-01-15,Total,82.54
2004-01-15,Serviços Postais,66.07
2004-02-15,Total,82.45
2004-02-15,Serviços Postais,67.51
2004-03-15,Total,82.64
2004-03-15,Serviços Postais,67.51
2004-04-15,Total,83.42
2004-04-15,Serviços Postais,67.51
2004-05-15,Total,84.11
2004-05-15,Serviços Postais,67.51
2004-06-15,Total,85.06
2004-06-15,Serviços Postais,67.51
2004-07-15,Total,84.38
2004-07-15,Serviços Postais,67.51
2004-08-15,Total,84.04
2004-08-15,Serviços Postais,67.51
2004-09-15,Total,83.97
2004-09-15,Serviços Postais,67.51
2004-10-15,Total,84.35
2004-10-15,Serviços Postais,67.51
2004-11-15,Total,84.63
2004-11-15,Serviços Postais,67.51
2004-12-15,Total,84.66
2004-12-15,Serviços Postais,67.51
2005-01-15,Total,84.23
2005-01-15,Serviços Postais,67.51
2005-02-15,Total,84.19
2005-02-15,Serviços Postais,67.51
2005-03-15,Total,84.47
2005-03-15,Serviços Postais,67.51
2005-04-15,Total,85.1
2005-04-15,Serviços Postais,67.51
2005-05-15,Total,85.58
2005-05-15,Serviços Postais,67.51
2005-06-15,Total,85.63
2005-06-15,Serviços Postais,67.51
2005-07-15,Total,85.99
2005-07-15,Serviços Postais,67.51
2005-08-15,Total,86.13
2005-08-15,Serviços Postais,67.51
