Indicador,Sexo,Geo,GeoDesc,OBS_VALUE,Pais
Vida Saudável,Mulheres,AT,Austria,9.4,Austria
Esperança de Vida,Mulheres,AT,Austria,21.6,Austria
Vida Saudável,Mulheres,BE,Belgium,11.7,Bélgica
Esperança de Vida,Mulheres,BE,Belgium,22.1,Bélgica
Vida Saudável,Mulheres,BG,Bulgaria,12,Bulgária
Esperança de Vida,Mulheres,BG,Bulgaria,18.8,Bulgária
Vida Saudável,Mulheres,CH,Switzerland,10.2,Suíça
Esperança de Vida,Mulheres,CH,Switzerland,23,Suíça
Vida Saudável,Mulheres,CY,Cyprus,8.8,Chipre
Esperança de Vida,Mulheres,CY,Cyprus,22.3,Chipre
Vida Saudável,Mulheres,CZ,Czechia,7.8,Chequia
Esperança de Vida,Mulheres,CZ,Czechia,20.5,Chequia
Vida Saudável,Mulheres,HR,Croatia,5.9,Croácia
Esperança de Vida,Mulheres,HR,Croatia,19.6,Croácia
Vida Saudável,Mulheres,DE,Germany,9,Alemanha
Esperança de Vida,Mulheres,DE,Germany,21.2,Alemanha
Vida Saudável,Mulheres,DK,Denmark,10.3,Dinamarca
Esperança de Vida,Mulheres,DK,Denmark,21.2,Dinamarca
Vida Saudável,Mulheres,EE,Estonia,8.1,Estónia
Esperança de Vida,Mulheres,EE,Estonia,21.5,Estónia
Vida Saudável,Mulheres,EL,Greece,8.3,Grécia
Esperança de Vida,Mulheres,EL,Greece,21.8,Grécia
Vida Saudável,Mulheres,ES,Spain,10.2,Espanha
Esperança de Vida,Mulheres,ES,Spain,23.9,Espanha
Vida Saudável,Mulheres,EU27_2020,European Union,9.6,EU27
Esperança de Vida,Mulheres,EU27_2020,European Union,21.8,EU27
Vida Saudável,Mulheres,FI,Finland,9.7,Finlândia
Esperança de Vida,Mulheres,FI,Finland,21.8,Finlândia
Vida Saudável,Mulheres,FR,France,12,França
Esperança de Vida,Mulheres,FR,France,23.6,França
Vida Saudável,Mulheres,HU,Hungary,7.8,Hungria
Vida Saudável,Mulheres,IE,Ireland,11.9,Irlanda
Vida Saudável,Mulheres,IT,Italy,10.7,Itália
Vida Saudável,Mulheres,LT,Lithuania,7.6,Lituânia
Vida Saudável,Mulheres,LV,Latvia,5,Letónia
Vida Saudável,Mulheres,MT,Malta,12,Malta
Vida Saudável,Mulheres,NL,Netherlands,9,Países Baixos
Vida Saudável,Mulheres,NO,Norway,14.3,Noruega
Vida Saudável,Mulheres,PL,Poland,9.1,Polónia
Vida Saudável,Mulheres,PT,Portugal,7.8,Portugal
Vida Saudável,Mulheres,RO,Romania,3.8,Roménia
Vida Saudável,Mulheres,SE,Sweden,14.3,Suécia
Vida Saudável,Mulheres,SI,Slovenia,12.4,Eslovénia
Vida Saudável,Mulheres,SK,Slovakia,5.2,Eslováquia
Esperança de Vida,Mulheres,HU,Hungary,18.6,Hungria
Esperança de Vida,Mulheres,IE,Ireland,22,Irlanda
Esperança de Vida,Mulheres,IT,Italy,22.6,Itália
Esperança de Vida,Mulheres,LT,Lithuania,20.5,Lituânia
