Indicador,Sexo,Geo,GeoDesc,OBS_VALUE,Pais
Esperança de Vida,Mulheres,LV,Latvia,19.5,Letónia
Esperança de Vida,Mulheres,MT,Malta,22.3,Malta
Esperança de Vida,Mulheres,NL,Netherlands,21,Países Baixos
Esperança de Vida,Mulheres,NO,Norway,21.9,Noruega
Esperança de Vida,Mulheres,PL,Poland,20.4,Polónia
Esperança de Vida,Mulheres,PT,Portugal,22.7,Portugal
Esperança de Vida,Mulheres,RO,Romania,19.1,Roménia
Esperança de Vida,Mulheres,SE,Sweden,22.2,Suécia
Esperança de Vida,Mulheres,SI,Slovenia,22.1,Eslovénia
Esperança de Vida,Mulheres,SK,Slovakia,19.8,Eslováquia
Vida Saudável,Homens,AT,Austria,9.3,Austria
Vida Saudável,Homens,BE,Belgium,11.3,Bélgica
Vida Saudável,Homens,BG,Bulgaria,10.4,Bulgária
Vida Saudável,Homens,CH,Switzerland,10.9,Suíça
Vida Saudável,Homens,CY,Cyprus,8.5,Chipre
Vida Saudável,Homens,CZ,Czechia,7.4,Chequia
Vida Saudável,Homens,DE,Germany,8.4,Alemanha
Vida Saudável,Homens,DK,Denmark,9.5,Dinamarca
Vida Saudável,Homens,EE,Estonia,6.9,Estónia
Vida Saudável,Homens,EL,Greece,8.1,Grécia
Vida Saudável,Homens,ES,Spain,10.3,Espanha
Vida Saudável,Homens,EU27_2020,European Union,9.2,EU27
Vida Saudável,Homens,FI,Finland,9.2,Finlândia
Vida Saudável,Homens,FR,France,10.5,França
Vida Saudável,Homens,HR,Croatia,6.1,Croácia
Vida Saudável,Homens,HU,Hungary,7.1,Hungria
Vida Saudável,Homens,IE,Ireland,11.6,Irlanda
Vida Saudável,Homens,IT,Italy,11,Itália
Vida Saudável,Homens,LT,Lithuania,7,Lituânia
Vida Saudável,Homens,LV,Latvia,4.5,Letónia
Vida Saudável,Homens,MT,Malta,13.1,Malta
Vida Saudável,Homens,NL,Netherlands,9.2,Países Baixos
Vida Saudável,Homens,NO,Norway,13.6,Noruega
Vida Saudável,Homens,PL,Poland,8.2,Polónia
Vida Saudável,Homens,PT,Portugal,9.1,Portugal
Vida Saudável,Homens,RO,Romania,4.3,Roménia
Vida Saudável,Homens,SE,Sweden,13.5,Suécia
Vida Saudável,Homens,SI,Slovenia,10.6,Eslovénia
Vida Saudável,Homens,SK,Slovakia,4.6,Eslováquia
Esperança de Vida,Homens,AT,Austria,18.5,Austria
Esperança de Vida,Homens,BE,Belgium,19.2,Bélgica
Esperança de Vida,Homens,BG,Bulgaria,14.6,Bulgária
Esperança de Vida,Homens,CH,Switzerland,20.5,Suíça
Esperança de Vida,Homens,CY,Cyprus,20.1,Chipre
Esperança de Vida,Homens,CZ,Czechia,16.7,Chequia
Esperança de Vida,Homens,DE,Germany,17.9,Alemanha
Esperança de Vida,Homens,DK,Denmark,18.5,Dinamarca
Esperança de Vida,Homens,EE,Estonia,16,Estónia
Esperança de Vida,Homens,EL,Greece,18.6,Grécia
Esperança de Vida,Homens,ES,Spain,19.8,Espanha
Esperança de Vida,Homens,EU27_2020,European Union,18.3,EU27
Esperança de Vida,Homens,FI,Finland,18.4,Finlândia
Esperança de Vida,Homens,FR,France,19.9,França
Esperança de Vida,Homens,HR,Croatia,16,Croácia
Esperança de Vida,Homens,HU,Hungary,14.6,Hungria
Esperança de Vida,Homens,IE,Ireland,19.6,Irlanda
Esperança de Vida,Homens,IT,Italy,19.7,Itália
Esperança de Vida,Homens,LT,Lithuania,15.4,Lituânia
Esperança de Vida,Homens,LV,Latvia,14.4,Letónia
Esperança de Vida,Homens,MT,Malta,19.7,Malta
Esperança de Vida,Homens,NL,Netherlands,18.9,Países Baixos
Esperança de Vida,Homens,NO,Norway,19.8,Noruega
Esperança de Vida,Homens,PL,Poland,16.2,Polónia
Esperança de Vida,Homens,PT,Portugal,19.2,Portugal
Esperança de Vida,Homens,RO,Romania,15,Roménia
Esperança de Vida,Homens,SE,Sweden,19.8,Suécia
Esperança de Vida,Homens,SI,Slovenia,18.3,Eslovénia
Esperança de Vida,Homens,SK,Slovakia,16,Eslováquia
