Ano,Mes,Origem,Dormidas
1991,8,Não Residente,2636944
1991,9,Não Residente,2236212
1991,10,Não Residente,1773891
1991,11,Não Residente,987215
1991,12,Não Residente,752340
1992,1,Não Residente,781648
1992,2,Não Residente,986012
1992,3,Não Residente,1264221
1992,4,Não Residente,1623777
1992,5,Não Residente,1891556
1992,6,Não Residente,1882321
1992,7,Não Residente,2051517
1992,8,Não Residente,2338728
1992,9,Não Residente,2013683
1992,10,Não Residente,1532666
1992,11,Não Residente,813412
1992,12,Não Residente,697490
1993,1,Não Residente,722725
1993,2,Não Residente,857343
1993,3,Não Residente,1155517
1993,4,Não Residente,1375478
1993,5,Não Residente,1528647
1993,6,Não Residente,1547485
1993,7,Não Residente,1750511
1993,8,Não Residente,2077369
1993,9,Não Residente,1877368
1993,10,Não Residente,1518349
1993,11,Não Residente,856668
1993,12,Não Residente,697763
1994,1,Não Residente,734171
1994,2,Não Residente,873489
1994,3,Não Residente,1293541
1994,4,Não Residente,1422015
1994,5,Não Residente,1806663
1994,6,Não Residente,1902426
1994,7,Não Residente,2214326
1994,8,Não Residente,2366060
1994,9,Não Residente,2131079
1994,10,Não Residente,1610693
1994,11,Não Residente,1031697
1994,12,Não Residente,792411
1995,1,Não Residente,853417
1995,2,Não Residente,1002781
1995,3,Não Residente,1409892
1995,4,Não Residente,1811557
1995,5,Não Residente,2147825
1995,6,Não Residente,2187679
1995,7,Não Residente,2381813
1995,8,Não Residente,2541904
1995,9,Não Residente,2266746
1995,10,Não Residente,1801788
1995,11,Não Residente,1112446
1995,12,Não Residente,839357
1996,1,Não Residente,888314
1996,2,Não Residente,1096378
1996,3,Não Residente,1495246
1996,4,Não Residente,1728981
1996,5,Não Residente,2016312
1996,6,Não Residente,2013739
1996,7,Não Residente,2283885
1996,8,Não Residente,2455662
1996,9,Não Residente,2272966
1996,10,Não Residente,1852416
1996,11,Não Residente,1024401
1996,12,Não Residente,834076
1997,1,Não Residente,823202
1997,2,Não Residente,1027683
1997,3,Não Residente,1641862
1997,4,Não Residente,1731551
1997,5,Não Residente,2166281
1997,6,Não Residente,2101593
1997,7,Não Residente,2387696
1997,8,Não Residente,2682028
1997,9,Não Residente,2324003
1997,10,Não Residente,1958507
1997,11,Não Residente,1143259
1997,12,Não Residente,863530
1998,1,Não Residente,938695
1998,2,Não Residente,1141393
1998,3,Não Residente,1620037
1998,4,Não Residente,1936306
1998,5,Não Residente,2266810
1998,6,Não Residente,2476851
1998,7,Não Residente,2765784
1998,8,Não Residente,3065731
1998,9,Não Residente,2750788
1998,10,Não Residente,2110350
1998,11,Não Residente,1209799
1998,12,Não Residente,957972
1999,1,Não Residente,989264
1999,2,Não Residente,1221071
1999,3,Não Residente,1714036
1999,4,Não Residente,1925055
1999,5,Não Residente,2292141
1999,6,Não Residente,2357676
1999,7,Não Residente,2558307
1999,8,Não Residente,2932847
1999,9,Não Residente,2605331
1999,10,Não Residente,2226150
1999,11,Não Residente,1298126
1999,12,Não Residente,900803
