ISCED11,Nivel,Sexo,Idade,Geo,Ano,Valor
TOTAL,5-Always,Total,Y16-00,LV,2022,6.1
TOTAL,4-Most Times,Total,Y16-00,LV,2022,30.7
TOTAL,1-Never,Total,Y16-00,LV,2022,6.4
TOTAL,2-Rarely,Total,Y16-00,LV,2022,16.6
TOTAL,3-Sometimes,Total,Y16-00,LV,2022,38.4
TOTAL,5-Always,Total,Y16-00,ME,2022,9.8
TOTAL,4-Most Times,Total,Y16-00,ME,2022,44.2
TOTAL,1-Never,Total,Y16-00,ME,2022,1.5
TOTAL,2-Rarely,Total,Y16-00,ME,2022,7.3
TOTAL,3-Sometimes,Total,Y16-00,ME,2022,31.4
TOTAL,5-Always,Total,Y16-00,MT,2022,5.5
TOTAL,4-Most Times,Total,Y16-00,MT,2022,56.4
TOTAL,1-Never,Total,Y16-00,MT,2022,1.5
TOTAL,2-Rarely,Total,Y16-00,MT,2022,6.2
TOTAL,3-Sometimes,Total,Y16-00,MT,2022,28.2
TOTAL,5-Always,Total,Y16-00,NL,2022,10.6
TOTAL,4-Most Times,Total,Y16-00,NL,2022,65.1
TOTAL,1-Never,Total,Y16-00,NL,2022,0.9
TOTAL,2-Rarely,Total,Y16-00,NL,2022,3.4
TOTAL,3-Sometimes,Total,Y16-00,NL,2022,19.4
TOTAL,5-Always,Total,Y16-00,NO,2022,8.9
TOTAL,4-Most Times,Total,Y16-00,NO,2022,48.2
TOTAL,1-Never,Total,Y16-00,NO,2022,1.1
TOTAL,2-Rarely,Total,Y16-00,NO,2022,10.4
TOTAL,3-Sometimes,Total,Y16-00,NO,2022,31.3
TOTAL,5-Always,Total,Y16-00,PL,2022,15.5
TOTAL,4-Most Times,Total,Y16-00,PL,2022,58.4
TOTAL,1-Never,Total,Y16-00,PL,2022,0.7
TOTAL,2-Rarely,Total,Y16-00,PL,2022,5.7
TOTAL,3-Sometimes,Total,Y16-00,PL,2022,18.3
TOTAL,5-Always,Total,Y16-00,PT,2022,19
TOTAL,4-Most Times,Total,Y16-00,PT,2022,46.9
TOTAL,1-Never,Total,Y16-00,PT,2022,2.1
TOTAL,2-Rarely,Total,Y16-00,PT,2022,7
TOTAL,3-Sometimes,Total,Y16-00,PT,2022,24.2
TOTAL,5-Always,Total,Y16-00,RO,2022,5.4
TOTAL,4-Most Times,Total,Y16-00,RO,2022,39.8
TOTAL,1-Never,Total,Y16-00,RO,2022,1.6
TOTAL,2-Rarely,Total,Y16-00,RO,2022,11.8
