Equipa,Jornada,Pontos
Estoril,27,36
Estoril,28,39
Estoril,29,39
Estoril,30,39
Estoril,31,42
Estoril,32,42
Estoril,33,43
Estoril,34,46
Casa Pia,1,0
Casa Pia,2,0
Casa Pia,3,0
Casa Pia,4,3
Casa Pia,5,6
Casa Pia,6,7
Casa Pia,7,8
Casa Pia,8,8
Casa Pia,9,11
Casa Pia,10,12
Casa Pia,11,13
Casa Pia,12,13
Casa Pia,13,14
Casa Pia,14,17
Casa Pia,15,20
Casa Pia,16,23
Casa Pia,17,24
Casa Pia,18,27
Casa Pia,19,30
Casa Pia,20,30
Casa Pia,21,33
Casa Pia,22,33
Casa Pia,23,36
Casa Pia,24,36
Casa Pia,25,36
Casa Pia,26,36
Casa Pia,27,39
Casa Pia,28,40
Casa Pia,29,40
Casa Pia,30,41
Casa Pia,31,41
Casa Pia,32,41
Casa Pia,33,44
Casa Pia,34,44
Arouca,1,0
Arouca,2,0
Arouca,3,3
Arouca,4,3
Arouca,5,3
Arouca,6,6
Arouca,7,6
Arouca,8,7
Arouca,9,7
Arouca,10,7
Arouca,11,8
Arouca,12,8
Arouca,13,8
Arouca,14,11
Arouca,15,11
Arouca,16,12
Arouca,17,15
Arouca,18,16
Arouca,19,19
Arouca,20,22
Arouca,21,23
Arouca,22,24
Arouca,23,25
Arouca,24,25
Arouca,25,28
Arouca,26,29
Arouca,27,29
Arouca,28,29
Arouca,29,30
Arouca,30,33
Arouca,31,33
Arouca,32,36
Arouca,33,37
Arouca,34,40
Moreirense,1,3
Moreirense,2,6
Moreirense,3,6
Moreirense,4,7
Moreirense,5,7
Moreirense,6,8
Moreirense,7,8
Moreirense,8,11
Moreirense,9,14
Moreirense,10,14
Moreirense,11,17
Moreirense,12,17
Moreirense,13,20
Moreirense,14,20
Moreirense,15,20
Moreirense,16,21
Moreirense,17,22
Moreirense,18,23
Moreirense,19,23
Moreirense,20,23
Moreirense,21,23
Moreirense,22,26
Moreirense,23,26
Moreirense,24,27
Moreirense,25,28
Moreirense,26,31
Moreirense,27,32
Moreirense,28,35
Moreirense,29,35
Moreirense,30,35
Moreirense,31,36
Moreirense,32,36
Moreirense,33,37
Moreirense,34,40
