DepNum,DepNome,Index,Party,Distrito,Custom,Rows,Cols,Row2,Col2
3, MARIA PAULA DA GRAÇA CARDOSO,28,AD,Aveiro,6,7,6,7,6
5, SALVADOR MALHEIRO FERREIRA DA SILVA,32,AD,Aveiro,6,7,7,7,7
1, LUIS FILIPE MONTENEGRO CARDOSO DE MORAIS ESTEVES,24,AD,Aveiro,6,7,8,7,8
6, ADRIANA HELENA DA SILVA RODRIGUES,34,AD,Aveiro,6,7,9,7,9
7, ALMIRO MIGUEL SANTOS RODRIGUES MOREIRA,36,AD,Aveiro,6,7,10,7,10
1, GONÇALO NUNO RAIO VALENTE E HENRIQUE,61,AD,Beja,6,8,1,8,1
3, SOFIA MANUELA CADEIAS MACHADO FERNANDES,98,AD,Braga,6,8,2,8,2
7, MANUEL JOAQUIM DA SILVA PINTO BARBOSA,106,AD,Braga,6,8,3,8,3
6, MARIA CLARA GONÇALVES MARQUES MENDES,104,AD,Braga,6,8,4,8,4
8, RICARDO BARROSO DA SILVA,108,AD,Braga,6,8,5,8,5
5, CARLOS MANUEL DE BRITO CAÇÃO,102,AD,Braga,6,8,6,8,6
2, NUNO JORGE RODRIGUES GONÇALVES,131,AD,Bragança,6,8,7,8,7
1, HUGO ALEXANDRE LOPES SOARES,94,AD,Braga,6,8,8,8,8
2, RICARDO JOSÉ MACHADO PEREIRA DA SILVA ARAÚJO,96,AD,Braga,6,8,9,8,9
4, EMÍDIO GUERREIRO,100,AD,Braga,6,8,10,8,10
1, HERNANI DINIS VENANCIO DIAS,129,AD,Bragança,6,9,1,9,1
2, MAURÍCIO TEIXEIRA MARQUES,175,AD,Coimbra,6,9,2,9,2
2, RICARDO JOSÉ MARTINS AIRES,152,AD,Castelo Branco,6,9,3,9,3
1, PEDRO TRIGO DE MORAIS DE ALBUQUERQUE REIS,150,AD,Castelo Branco,6,9,4,9,4
4, ANA ELISABETE LABORDA OLIVEIRA,179,AD,Coimbra,6,9,5,9,5
1, MARIA DA GRAÇA MARTINS DA SILVA CARVALHO,227,AD,Faro,6,9,6,9,6
2, CRISTÓVÃO DUARTE NUNES GUERREIRO NORTE,229,AD,Faro,6,9,7,9,7
1, RITA FRAGOSO DE RHODES ALARCÃO JÚDICE DE ABREU E MOTA,173,AD,Coimbra,6,9,8,9,8
3, PEDRO MANUEL MONTEIRO MACHADO,177,AD,Coimbra,6,9,9,9,9
1, FRANCISCO MARIA GONÇALVES LOPES FIGUEIRA,202,AD,Évora,6,9,10,9,10
3, BÁRBARA MARIA DO AMARAL CORREIA,231,AD,Faro,6,10,1,10,1
1, ANA MARGARIDA BALSEIRO DE SOUSA LOPES,275,AD,Leiria,6,10,2,10,2
4, JOÃO PAULO ANTUNES DOS SANTOS,281,AD,Leiria,6,10,3,10,3
1, DULCINEIA CATARINA MOURA DE SOUSA COITO,252,AD,Guarda,6,10,4,10,4
3, SOFIA ISABEL CARREIRA,279,AD,Leiria,6,10,5,10,5
4, PAULO DE FARIA LINCE NÚNCIO,373,AD,Lisboa,6,10,6,10,6
14, ANTÓNIO COSTA RODRIGUES,393,AD,Lisboa,6,10,7,10,7
5, RICARDO ANTÓNIO BEATO CARVALHO,283,AD,Leiria,6,10,8,10,8
2, HUGO PATRÍCIO MARTINHO DE OLIVEIRA,277,AD,Leiria,6,10,9,10,9
5, MANUEL ALEXANDRE MATEUS HOMEM CRISTO,375,AD,Lisboa,6,10,10,10,10
2, MIGUEL MARTINEZ DE CASTRO PINTO LUZ,369,AD,Lisboa,6,11,1,11,1
1, JOAQUIM JOSÉ MIRANDA SARMENTO,367,AD,Lisboa,6,11,2,11,2
13, MARCO HENRIQUES CLAUDINO,391,AD,Lisboa,6,11,3,11,3
12, MARGARIDA MARIA DE MOURA ALVES DA SILVA DE ALMEIDA SAAVEDRA,389,AD,Lisboa,6,11,4,11,4
6, SANDRA CRISTINA DE SEQUEIROS PEREIRA,377,AD,Lisboa,6,11,5,11,5
7, ALEXANDRE DAMASCENO DA SILVA POÇO,379,AD,Lisboa,6,11,6,11,6
11, JOÃO PEDRO VILA VIÇOSA LOURO,387,AD,Lisboa,6,11,7,11,7
15, ANA ISABEL MARQUES XAVIER,395,AD,Lisboa,6,11,8,11,8
3, REGINA MARIA PINTO DA FONSECA RAMOS BASTOS,371,AD,Lisboa,6,11,9,11,9
8, JOÃO MÁRIO MC MILLAN DA CUNHA VALE E AZEVEDO,381,AD,Lisboa,6,11,10,11,10
10, BRUNO MANUEL PEDROSA VENTURA,385,AD,Lisboa,6,12,1,12,1
2, VÂNIA ANDREA DE CASTRO JESUS,734,AD,Madeira,6,12,2,12,2
3, PAULO ALEXANDRE DE SOUSA NEVES,736,AD,Madeira,6,12,3,12,3
9, CRISTINA ALEXANDRA RODRIGUES DA CRUZ VAZ TOMÉ,383,AD,Lisboa,6,12,4,12,4
1, PEDRO EMANUEL ABREU COELHO,732,AD,Madeira,6,12,5,12,5
6, MARIA GERMANA DE SOUSA ROCHA,497,AD,Porto,6,12,6,12,6
1, PAULO ARTUR DOS SANTOS CASTRO DE CAMPOS RANGEL,487,AD,Porto,6,12,7,12,7
9, ANDREIA CARINA MACHADO DA SILVA NETO,503,AD,Porto,6,12,8,12,8
8, ALBERTO AMARO GUEDES MACHADO,501,AD,Porto,6,12,9,12,9
15, OLGA CRISTINA RODRIGUES DA VEIGA FREIRE,515,AD,Porto,6,12,10,12,10
5, CARLOS EDUARDO ALMEIDA DE ABREU AMORIM,495,AD,Porto,6,13,1,13,1
3, ANA GABRIELA OLIVEIRA CABILHAS,491,AD,Porto,6,13,2,13,2
2, JOÃO NUNO LACERDA TEIXEIRA DE MELO,489,AD,Porto,6,13,3,13,3
4, JOSÉ MIGUEL RIBEIRO DE CASTRO GUIMARÃES,493,AD,Porto,6,13,4,13,4
10, HUGO MIGUEL DE SOUSA CARNEIRO,505,AD,Porto,6,13,5,13,5
12, CARLA MARIA GOMES BARROS,509,AD,Porto,6,13,6,13,6
11, FRANCISCO SÉRGIO COVELINHAS LOPES,507,AD,Porto,6,13,7,13,7
13, FRANCISCO JOSÉ DE SOUSA VIEIRA,511,AD,Porto,6,13,8,13,8
14, RUI MANUEL ALVES DA ROCHA PEREIRA,513,AD,Porto,6,13,9,13,9
7, ALBERTO FERNANDO DA SILVA SANTOS,499,AD,Porto,6,13,10,13,10
1, FERNANDO MANUEL DE ALMEIDA ALEXANDRE,558,AD,Santarém,6,14,1,14,1
2, JOÃO MANUEL MOURA RODRIGUES,560,AD,Santarém,6,14,2,14,2
4, RICARDO ALEXANDRE FRADE DE OLIVEIRA,564,AD,Santarém,6,14,3,14,3
3, ISAURA MARIA ELIAS CRISÓSTOMO BERNARDINO MORAIS,562,AD,Santarém,6,14,4,14,4
5, ANTÓNIO PEDRO ROQUE DA VISITAÇÃO OLIVEIRA,621,AD,Setúbal,6,14,5,14,5
1, MARIA TERESA DA SILVA MORAIS,613,AD,Setúbal,6,14,6,14,6
3, MARIA MANUELA DO VALE DIAS DE CARVALHO LOPES,652,AD,Viana do Castelo,6,14,7,14,7
4, SÓNIA DOS REIS,619,AD,Setúbal,6,14,8,14,8
3, BRUNO JORGE VIEGAS VITORINO,617,AD,Setúbal,6,14,9,14,9
2, PAULO JORGE SIMÕES RIBEIRO,615,AD,Setúbal,6,14,10,14,10
1, JOSÉ PEDRO CORREIA DE AGUIAR BRANCO,648,AD,Viana do Castelo,6,15,1,15,1
2, AMÍLCAR RODRIGUES ALVES CASTRO DE ALMEIDA,673,AD,Vila Real,6,15,2,15,2
3, FERNANDO EIRÃO QUEIROGA,675,AD,Vila Real,6,15,3,15,3
2, JOÃO MANUEL DO AMARAL ESTEVES,650,AD,Viana do Castelo,6,15,4,15,4
1, ANA PAULA MECHEIRO DE ALMEIDA MARTINS SILVESTRE CORREIA,671,AD,Vila Real,6,15,5,15,5
1, ANTÓNIO EGREJAS LEITÃO AMARO,699,AD,Viseu,6,15,6,15,6
4, CARLOS SILVA SANTIAGO,705,AD,Viseu,6,15,7,15,7
3, INÊS CARMELO ROSA CALADO LOPES DOMINGOS,703,AD,Viseu,6,15,8,15,8
2, PEDRO FILIPE DOS SANTOS ALVES,701,AD,Viseu,6,15,9,15,9
