Indicador,Sexo,Geo,GeoDesc,OBS_VALUE,Pais
Esperança de Vida,Homens,CH,Switzerland,33.9,Suíça
Esperança de Vida,Homens,CY,Cyprus,33.2,Chipre
Esperança de Vida,Homens,CZ,Czechia,29,Chequia
Esperança de Vida,Homens,DE,Germany,30.4,Alemanha
Esperança de Vida,Homens,DK,Denmark,31.4,Dinamarca
Esperança de Vida,Homens,EE,Estonia,27.3,Estónia
Esperança de Vida,Homens,EL,Greece,31.1,Grécia
Esperança de Vida,Homens,ES,Spain,32.7,Espanha
Esperança de Vida,Homens,EU27_2020,European Union,30.7,EU27
Esperança de Vida,Homens,FI,Finland,31.1,Finlândia
Esperança de Vida,Homens,FR,France,32.3,França
Esperança de Vida,Homens,HR,Croatia,27.7,Croácia
Esperança de Vida,Homens,HU,Hungary,25.6,Hungria
Esperança de Vida,Homens,IE,Ireland,32.7,Irlanda
Esperança de Vida,Homens,IT,Italy,32.8,Itália
Esperança de Vida,Homens,LT,Lithuania,26.1,Lituânia
Esperança de Vida,Homens,LV,Latvia,24.6,Letónia
Esperança de Vida,Homens,MT,Malta,32.9,Malta
Esperança de Vida,Homens,NL,Netherlands,32,Países Baixos
Esperança de Vida,Homens,NO,Norway,33.2,Noruega
Esperança de Vida,Homens,PL,Poland,27.5,Polónia
Esperança de Vida,Homens,PT,Portugal,31.4,Portugal
Esperança de Vida,Homens,RO,Romania,25.6,Roménia
Esperança de Vida,Homens,SE,Sweden,33.2,Suécia
Esperança de Vida,Homens,SI,Slovenia,30.8,Eslovénia
Esperança de Vida,Homens,SK,Slovakia,27.6,Eslováquia
