Ano,Vegetal,Valor,Valor1960
2000,Beringela,0.807,3.0438
2001,Bróculos,5.3987,13.4166
2001,Cenouras,9.3801,1.2989
2001,Beringela,0.8324,3.1396
2002,Bróculos,5.3513,13.2989
2002,Cenouras,8.4174,1.1656
2002,Beringela,0.7191,2.7122
2003,Bróculos,5.3473,13.2888
2003,Cenouras,8.7788,1.2157
2003,Beringela,0.7255,2.7363
2004,Bróculos,5.3137,13.2054
2004,Cenouras,8.7211,1.2077
2004,Beringela,0.7247,2.7336
2005,Bróculos,5.3416,13.2748
2005,Cenouras,8.6647,1.1999
2005,Beringela,0.8499,3.2055
2006,Bróculos,5.7611,14.3173
2006,Cenouras,8.1082,1.1228
2006,Beringela,0.8511,3.2102
2007,Bróculos,5.636,14.0064
2007,Cenouras,8.0497,1.1147
2007,Beringela,0.8551,3.2254
2008,Bróculos,6.0349,14.9976
2008,Cenouras,8.067,1.1171
2008,Beringela,0.7765,2.929
2009,Bróculos,6.2073,15.426
2009,Cenouras,7.3862,1.0228
2009,Beringela,0.8052,3.0373
2010,Bróculos,5.9539,14.7963
2010,Cenouras,7.7576,1.0743
2010,Beringela,0.7421,2.7991
2011,Bróculos,5.9433,14.7699
2011,Cenouras,7.5048,1.0392
2011,Beringela,0.7123,2.6868
2012,Bróculos,6.3054,15.6698
2012,Cenouras,7.9492,1.1008
2012,Beringela,0.8061,3.0405
2013,Bróculos,6.9304,17.2231
2013,Cenouras,8.0182,1.1103
2013,Beringela,0.8485,3.2005
2014,Bróculos,6.6497,16.5256
2014,Cenouras,8.4867,1.1752
2014,Beringela,0.8472,3.1953
2015,Bróculos,7.4102,18.4156
2015,Cenouras,8.7973,1.2182
2015,Beringela,0.8474,3.1962
2016,Bróculos,7.4537,18.5236
2016,Cenouras,7.8218,1.0831
2016,Beringela,0.8643,3.26
2017,Bróculos,7.1172,17.6873
2017,Cenouras,7.3539,1.0183
2017,Beringela,0.9702,3.6595
2018,Bróculos,5.9415,14.7656
2018,Cenouras,12.2088,1.6906
2018,Beringela,0.8094,3.0531
2019,Bróculos,5.9142,14.6977
2019,Cenouras,8.3068,1.1503
2019,Beringela,0.8048,3.0355
2020,Bróculos,5.8635,14.5717
2020,Cenouras,8.1005,1.1217
2020,Beringela,0.9727,3.6688
2021,Bróculos,5.0578,12.5693
2021,Cenouras,8.0974,1.1213
2021,Beringela,0.9611,3.625
2022,Bróculos,5.2383,13.018
2022,Cenouras,8.3814,1.1606
2022,Beringela,1.0078,3.8013
