GridNo,Lat,Long,Alt,NUTS3_ID,NUTS3_Desc,NUTS2_ID,NUTS2_Desc,NUTS1_ID,NUTS1_Desc,Country_ID,Country_Desc,RiverBank
67053,41.72659,-7.0268,801,PT11E,Terras de Trás-os-Montes,PT11,Norte,PT1,Continente,PT,Portugal,North of Tagus
67054,41.77684,-6.73279,747,PT11E,Terras de Trás-os-Montes,PT11,Norte,PT1,Continente,PT,Portugal,North of Tagus
67055,41.82622,-6.43836,807,ES419,Zamora,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
67056,41.87475,-6.14352,798,ES419,Zamora,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
67057,41.9224,-5.84827,715,ES419,Zamora,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
67058,41.96919,-5.55262,711,ES419,Zamora,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
67059,42.01511,-5.25656,748,ES418,Valladolid,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
67060,42.06016,-4.96012,761,ES418,Valladolid,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
67061,42.10433,-4.6633,775,ES414,Palencia,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
67062,42.14763,-4.36609,800,ES414,Palencia,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
67063,42.19006,-4.06852,816,ES412,Burgos,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
67064,42.2316,-3.77058,883,ES412,Burgos,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
67065,42.27227,-3.47228,961,ES412,Burgos,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
67066,42.31205,-3.17362,823,ES412,Burgos,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
67067,42.35095,-2.87463,662,ES230,La Rioja,ES23,La Rioja,ES2,Noreste (ES),ES,Spain,North of Tagus
67068,42.38897,-2.57529,442,ES230,La Rioja,ES23,La Rioja,ES2,Noreste (ES),ES,Spain,North of Tagus
67069,42.42609,-2.27563,429,ES230,La Rioja,ES23,La Rioja,ES2,Noreste (ES),ES,Spain,North of Tagus
67070,42.46233,-1.97564,383,ES220,Navarra,ES22,Comunidad Foral de Navarra,ES2,Noreste (ES),ES,Spain,North of Tagus
67071,42.49769,-1.67533,362,ES220,Navarra,ES22,Comunidad Foral de Navarra,ES2,Noreste (ES),ES,Spain,North of Tagus
67072,42.53215,-1.37471,448,ES220,Navarra,ES22,Comunidad Foral de Navarra,ES2,Noreste (ES),ES,Spain,North of Tagus
67073,42.56571,-1.07379,527,ES243,Zaragoza,ES24,Aragón,ES2,Noreste (ES),ES,Spain,North of Tagus
67074,42.59839,-0.77258,655,ES241,Huesca,ES24,Aragón,ES2,Noreste (ES),ES,Spain,North of Tagus
67075,42.63017,-0.47107,849,ES241,Huesca,ES24,Aragón,ES2,Noreste (ES),ES,Spain,North of Tagus
67076,42.66105,-0.16928,1380,ES241,Huesca,ES24,Aragón,ES2,Noreste (ES),ES,Spain,North of Tagus
67077,42.69103,0.13277,1653,ES241,Huesca,ES24,Aragón,ES2,Noreste (ES),ES,Spain,North of Tagus
67079,42.7483,0.73768,1269,ES513,Lleida,ES51,Cataluña,ES5,Este (ES),ES,Spain,North of Tagus
67080,42.77558,1.04052,1346,ES513,Lleida,ES51,Cataluña,ES5,Este (ES),ES,Spain,North of Tagus
68047,41.64405,-8.76445,36,PT111,Alto Minho,PT11,Norte,PT1,Continente,PT,Portugal,North of Tagus
68048,41.68079,-8.55779,63,PT111,Alto Minho,PT11,Norte,PT1,Continente,PT,Portugal,North of Tagus
68049,41.73555,-8.26502,218,PT112,Cávado,PT11,Norte,PT1,Continente,PT,Portugal,North of Tagus
68050,41.78944,-7.97179,825,PT11B,Alto Tâmega,PT11,Norte,PT1,Continente,PT,Portugal,North of Tagus
68051,41.84248,-7.67811,894,PT11B,Alto Tâmega,PT11,Norte,PT1,Continente,PT,Portugal,North of Tagus
68052,41.89466,-7.38399,443,ES113,Ourense,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
68053,41.94599,-7.08943,744,PT11E,Terras de Trás-os-Montes,PT11,Norte,PT1,Continente,PT,Portugal,North of Tagus
68054,41.99644,-6.79444,916,ES419,Zamora,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
68055,42.04604,-6.49902,905,ES419,Zamora,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
68056,42.09476,-6.20318,802,ES419,Zamora,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
68057,42.14262,-5.90693,750,ES419,Zamora,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
68058,42.18961,-5.61026,766,ES413,León,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
