GridNo,Lat,Long,Alt,NUTS3_ID,NUTS3_Desc,NUTS2_ID,NUTS2_Desc,NUTS1_ID,NUTS1_Desc,Country_ID,Country_Desc,RiverBank
73060,43.37975,-5.30551,170,ES120,Asturias,ES12,Principado de Asturias,ES1,Noroeste (ES),ES,Spain,North of Tagus
73061,43.39075,-5.00414,109,ES120,Asturias,ES12,Principado de Asturias,ES1,Noroeste (ES),ES,Spain,North of Tagus
73062,43.38819,-4.72368,36,ES120,Asturias,ES12,Principado de Asturias,ES1,Noroeste (ES),ES,Spain,North of Tagus
73063,43.3917,-4.49297,1,ES130,Cantabria,ES13,Cantabria,ES1,Noroeste (ES),ES,Spain,North of Tagus
73065,43.48289,-3.82859,15,ES130,Cantabria,ES13,Cantabria,ES1,Noroeste (ES),ES,Spain,North of Tagus
74047,42.96982,-9.19436,83,ES111,A Coruña,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
74048,42.98809,-8.97667,283,ES111,A Coruña,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
74049,43.04425,-8.67801,314,ES111,A Coruña,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
74050,43.09953,-8.37885,278,ES111,A Coruña,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
74051,43.15394,-8.0792,383,ES111,A Coruña,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
74052,43.20747,-7.77906,444,ES112,Lugo,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
74053,43.26012,-7.47844,416,ES112,Lugo,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
74054,43.31189,-7.17735,331,ES112,Lugo,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
74055,43.36277,-6.87579,388,ES120,Asturias,ES12,Principado de Asturias,ES1,Noroeste (ES),ES,Spain,North of Tagus
74056,43.41277,-6.57377,304,ES120,Asturias,ES12,Principado de Asturias,ES1,Noroeste (ES),ES,Spain,North of Tagus
74057,43.45811,-6.2727,200,ES120,Asturias,ES12,Principado de Asturias,ES1,Noroeste (ES),ES,Spain,North of Tagus
